market_id,year,company,share_percent,confidence,definition,publisher,source_title,source_date,source_kind,reliability,url,quote,verified,notes
crm,2011,Salesforce,16.7,reported,Gartner CRM software revenue,Gartner,customer relationship management Archives - Software Strategies Blog,2012,analyst,secondary,https://softwarestrategiesblog.com/tag/customer-relationship-management/,"According to Gartner, Salesforce.com’s worldwide CRM market share was 16.7% in 2011, second only to SAP.",yes,
crm,2013,Salesforce,16.1,reported,Gartner CRM software revenue,Gartner,Gartner Says Customer Relationship Management Software Market Grew 13.7 Percent in 2013 (reprint),2014-05-06,press,secondary,https://workflowotg.com/gartner-says-customer-relationship-management-software-market-grew-13-7-percent-in-2013/,,yes,
crm,2014,Salesforce,18.2,reported,Gartner CRM software revenue,Gartner,Gartner says CRM software market grew 12.3 percent in 2015 (IDM),2016-05-26,press,secondary,http://idm.net.au/article/0011036-gartner-says-crm-software-market-grew-123-percent-2015,"Salesforce, which increased its market share from 18.2% in 2014 to 19.7% in 2015",yes,
crm,2015,Salesforce,19.7,reported,Gartner CRM software revenue,Gartner,Gartner says CRM software market grew 12.3 percent in 2015 (IDM),2016-05-26,press,secondary,http://idm.net.au/article/0011036-gartner-says-crm-software-market-grew-123-percent-2015,"Salesforce, which increased its market share from 18.2% in 2014 to 19.7% in 2015",yes,
crm,2017,Salesforce,18.3,reported,Gartner customer experience and relationship management (CX+CRM) software revenue,Gartner,Worldwide Customer Experience and Relationship Management Software Market Grew 15.6% in 2018: Gartner (CIOL),2019-06-17,press,secondary,https://www.ciol.com/worldwide-customer-experience-relationship-management-software-market-grew-15-6-2018-gartner/,"Salesforce | 9,420.5 | 19.5 | 7,648.1 | 18.3",yes,
crm,2017,SAP,8.3,reported,Gartner customer experience and relationship management (CX+CRM) software revenue,Gartner,Worldwide Customer Experience and Relationship Management Software Market Grew 15.6% in 2018: Gartner (CIOL),2019-06-17,press,secondary,https://www.ciol.com/worldwide-customer-experience-relationship-management-software-market-grew-15-6-2018-gartner/,"SAP | 4,012.2 | 8.3 | 3,474.4 | 8.3",yes,
crm,2018,Salesforce,19.5,reported,Gartner customer experience and relationship management (CX+CRM) software revenue,Gartner,Worldwide Customer Experience and Relationship Management Software Market Grew 15.6% in 2018: Gartner (CIOL),2019-06-17,press,secondary,https://www.ciol.com/worldwide-customer-experience-relationship-management-software-market-grew-15-6-2018-gartner/,"Salesforce | 9,420.5 | 19.5 | 7,648.1 | 18.3",yes,
crm,2018,SAP,8.3,reported,Gartner customer experience and relationship management (CX+CRM) software revenue,Gartner,Worldwide Customer Experience and Relationship Management Software Market Grew 15.6% in 2018: Gartner (CIOL),2019-06-17,press,secondary,https://www.ciol.com/worldwide-customer-experience-relationship-management-software-market-grew-15-6-2018-gartner/,"SAP | 4,012.2 | 8.3 | 3,474.4 | 8.3",yes,
crm,2019,SAP,5.7,reported,Gartner customer experience and relationship management (CX+CRM) software revenue,Gartner,Four Interesting Insights From Gartner 2020 CRM Market Share Update,2021-07-09,analyst,secondary,https://softwarestrategiesblog.com/2021/07/09/four-interesting-insights-from-gartner-2020-crm-market-share-update/,"SAP and Oracle each witnessed a slight decrease in market share to 5.2% and 4.4%, respectively, in 2020, down slightly from 5.7% and 4.7% in 2019",yes,
crm,2019,Oracle,4.7,reported,Gartner customer experience and relationship management (CX+CRM) software revenue,Gartner,Four Interesting Insights From Gartner 2020 CRM Market Share Update,2021-07-09,analyst,secondary,https://softwarestrategiesblog.com/2021/07/09/four-interesting-insights-from-gartner-2020-crm-market-share-update/,"SAP and Oracle each witnessed a slight decrease in market share to 5.2% and 4.4%, respectively, in 2020, down slightly from 5.7% and 4.7% in 2019",yes,
crm,2020,SAP,5.2,reported,Gartner customer experience and relationship management (CX+CRM) software revenue,Gartner,Four Interesting Insights From Gartner 2020 CRM Market Share Update,2021-07-09,analyst,secondary,https://softwarestrategiesblog.com/2021/07/09/four-interesting-insights-from-gartner-2020-crm-market-share-update/,"SAP and Oracle each witnessed a slight decrease in market share to 5.2% and 4.4%, respectively, in 2020, down slightly from 5.7% and 4.7% in 2019",yes,
crm,2020,Oracle,4.4,reported,Gartner customer experience and relationship management (CX+CRM) software revenue,Gartner,Four Interesting Insights From Gartner 2020 CRM Market Share Update,2021-07-09,analyst,secondary,https://softwarestrategiesblog.com/2021/07/09/four-interesting-insights-from-gartner-2020-crm-market-share-update/,"SAP and Oracle each witnessed a slight decrease in market share to 5.2% and 4.4%, respectively, in 2020, down slightly from 5.7% and 4.7% in 2019",yes,
crm,2021,Salesforce,23.8,reported,IDC CRM applications (Semiannual Software Tracker),CX Foundation (reporting IDC),"Salesforce Extends Its CRM Market Lead, Oracle Now Its Closest Competitor",2026-06-09,press,secondary,https://cxfoundation.com/news/salesforce-extends-crm-market-lead,CRM Market Share table: Salesforce 2021 23.8%,yes,"IDC figures; the CRM rows for 2011-2020 are Gartner's, which defines the market differently, so compare within one publisher."
crm,2021,SAP,5.4,reported,IDC CRM applications (Semiannual Software Tracker),CX Foundation (reporting IDC),"Salesforce Extends Its CRM Market Lead, Oracle Now Its Closest Competitor",2026-06-09,press,secondary,https://cxfoundation.com/news/salesforce-extends-crm-market-lead,CRM Market Share table: SAP 2021 5.4%,yes,"IDC figures; the CRM rows for 2011-2020 are Gartner's, which defines the market differently, so compare within one publisher."
crm,2021,Microsoft,5.3,reported,IDC CRM applications (Semiannual Software Tracker),CX Foundation (reporting IDC),"Salesforce Extends Its CRM Market Lead, Oracle Now Its Closest Competitor",2026-06-09,press,secondary,https://cxfoundation.com/news/salesforce-extends-crm-market-lead,CRM Market Share table: Microsoft 2021 5.3%,yes,"IDC figures; the CRM rows for 2011-2020 are Gartner's, which defines the market differently, so compare within one publisher."
crm,2021,Oracle,5.1,reported,IDC CRM applications (Semiannual Software Tracker),CX Foundation (reporting IDC),"Salesforce Extends Its CRM Market Lead, Oracle Now Its Closest Competitor",2026-06-09,press,secondary,https://cxfoundation.com/news/salesforce-extends-crm-market-lead,CRM Market Share table: Oracle 2021 5.1%,yes,"IDC figures; the CRM rows for 2011-2020 are Gartner's, which defines the market differently, so compare within one publisher."
