market_id,year,company,share_percent,publisher,source_title,source_date,url,quote,batch
crm,2013,Salesforce,16.1,Gartner,Gartner Says Customer Relationship Management Software Market Grew 13.7 Percent in 2013,2014-05-06,https://www.gartner.com/en/newsroom/press-releases/2014-05-06-gartner-says-customer-relationship-management-software-market-grew-13-percent-in-2013,,1
databases,2004,Oracle,48.9,Gartner,Gartner Says Worldwide Relational Database Market Increased 8 Percent in 2005,2006-05-24,https://www.businesswire.com/news/home/20060524005618/en/Gartner-Worldwide-Relational-Database-Market-Increased-8,,1
databases,2004,IBM,22.4,Gartner,Gartner Says Worldwide Relational Database Market Increased 8 Percent in 2005,2006-05-24,https://www.businesswire.com/news/home/20060524005618/en/Gartner-Worldwide-Relational-Database-Market-Increased-8,,1
databases,2004,Microsoft,13.9,Gartner,Gartner Says Worldwide Relational Database Market Increased 8 Percent in 2005,2006-05-24,https://www.businesswire.com/news/home/20060524005618/en/Gartner-Worldwide-Relational-Database-Market-Increased-8,,1
databases,2005,Oracle,48.6,Gartner,Gartner Says Worldwide Relational Database Market Increased 8 Percent in 2005,2006-05-24,https://www.businesswire.com/news/home/20060524005618/en/Gartner-Worldwide-Relational-Database-Market-Increased-8,,1
databases,2005,IBM,22.0,Gartner,Gartner Says Worldwide Relational Database Market Increased 8 Percent in 2005,2006-05-24,https://www.businesswire.com/news/home/20060524005618/en/Gartner-Worldwide-Relational-Database-Market-Increased-8,,1
databases,2005,Microsoft,15.0,Gartner,Gartner Says Worldwide Relational Database Market Increased 8 Percent in 2005,2006-05-24,https://www.businesswire.com/news/home/20060524005618/en/Gartner-Worldwide-Relational-Database-Market-Increased-8,,1
databases,2006,Oracle,47.1,Gartner,"Database Sales Grew By 14.2 Percent in 2006, Says Gartner",2007-06-25,https://www.itjungle.com/2007/06/25/tfh062507-story08/,,1
databases,2021,Microsoft,24.0,Gartner,Gartner: Microsoft #1 in Database Revenue; AWS Passes Oracle; Google Cloud Gains,2022-04-20,https://clouddb.substack.com/p/gartner-microsoft-1-in-database-revenue,,1
databases,2021,AWS,23.9,Gartner,Gartner: Microsoft #1 in Database Revenue; AWS Passes Oracle; Google Cloud Gains,2022-04-20,https://clouddb.substack.com/p/gartner-microsoft-1-in-database-revenue,,1
databases,2021,Oracle,20.6,Gartner,Gartner: Microsoft #1 in Database Revenue; AWS Passes Oracle; Google Cloud Gains,2022-04-20,https://clouddb.substack.com/p/gartner-microsoft-1-in-database-revenue,,1
databases,2021,Google,6.5,Gartner,Gartner: Microsoft #1 in Database Revenue; AWS Passes Oracle; Google Cloud Gains,2022-04-20,https://clouddb.substack.com/p/gartner-microsoft-1-in-database-revenue,,1
databases,2021,IBM,5.6,Gartner,Gartner: Microsoft #1 in Database Revenue; AWS Passes Oracle; Google Cloud Gains,2022-04-20,https://clouddb.substack.com/p/gartner-microsoft-1-in-database-revenue,,1
security-software,2015,Symantec,15.2,Gartner,Gartner Says Worldwide Security Software Market Grew 3.7 Percent in 2015,2016-07-14,https://www.gartner.com/en/newsroom/press-releases/2016-07-14-gartner-says-worldwide-security-software-market-grew-3-percent-in-2015,,1
security-software,2015,Intel,7.9,Gartner,Gartner Says Worldwide Security Software Market Grew 3.7 Percent in 2015,2016-07-14,https://www.gartner.com/en/newsroom/press-releases/2016-07-14-gartner-says-worldwide-security-software-market-grew-3-percent-in-2015,,1
security-software,2015,IBM,6.6,Gartner,Gartner Says Worldwide Security Software Market Grew 3.7 Percent in 2015,2016-07-14,https://www.gartner.com/en/newsroom/press-releases/2016-07-14-gartner-says-worldwide-security-software-market-grew-3-percent-in-2015,,1
security-software,2015,Trend Micro,4.5,Gartner,Gartner Says Worldwide Security Software Market Grew 3.7 Percent in 2015,2016-07-14,https://www.gartner.com/en/newsroom/press-releases/2016-07-14-gartner-says-worldwide-security-software-market-grew-3-percent-in-2015,,1
security-software,2015,EMC,3.4,Gartner,Gartner Says Worldwide Security Software Market Grew 3.7 Percent in 2015,2016-07-14,https://www.gartner.com/en/newsroom/press-releases/2016-07-14-gartner-says-worldwide-security-software-market-grew-3-percent-in-2015,,1
crm,2011,Salesforce,16.7,Gartner,customer relationship management Archives - Software Strategies Blog,2012,https://softwarestrategiesblog.com/tag/customer-relationship-management/,"According to Gartner, Salesforce.com’s worldwide CRM market share was 16.7% in 2011, second only to SAP.",2
crm,2014,Salesforce,18.2,Gartner,CRM software market worth $26.3B in 2015: Gartner (Techseen),2016-05-26,https://techseen.com/2016/05/26/crm-market-26-3-billion-gartner/,"Salesforce, which increased its market share from 18.2% in 2014 to 19.7% in 2015",2
crm,2015,Salesforce,19.7,Gartner,CRM software market worth $26.3B in 2015: Gartner (Techseen),2016-05-26,https://techseen.com/2016/05/26/crm-market-26-3-billion-gartner/,"Salesforce, which increased its market share from 18.2% in 2014 to 19.7% in 2015",2
